CustomerID,ProductID,PurchaseDate,Quantity,Price,TotalAmount
103,58,2023-01-01 0:00,9,139,1251
436,23,2023-01-01 1:00,3,302.9,908.7
861,54,2023-01-01 2:00,1,465.33,465.33
271,80,2023-01-01 3:00,2,429.06,858.12
107,65,2023-01-01 4:00,6,232.89,1397.34
72,12,2023-01-01 5:00,5,414.12,2070.6
701,24,2023-01-01 6:00,1,214.44,214.44
21,34,2023-01-01 7:00,1,129.89,129.89
615,53,2023-01-01 8:00,4,491.79,1967.16
122,8,2023-01-01 9:00,4,155.42,621.68
467,18,2023-01-01 10:00,6,165.24,991.44
215,57,2023-01-01 11:00,6,494.9,2969.4
331,5,2023-01-01 12:00,6,71.29,427.74
459,26,2023-01-01 13:00,1,381.46,381.46
88,30,2023-01-01 14:00,9,468.23,4214.07
373,54,2023-01-01 15:00,7,258.34,1808.38
100,13,2023-01-01 16:00,7,6.25,43.75
872,83,2023-01-01 17:00,7,190.65,1334.55
664,29,2023-01-01 18:00,2,60.23,120.46
131,3,2023-01-01 19:00,2,211.01,422.02
662,90,2023-01-01 20:00,6,396.06,2376.36
309,58,2023-01-01 21:00,7,222.16,1555.12
770,76,2023-01-01 22:00,3,218.8,656.4
344,2,2023-01-01 23:00,4,280.61,1122.44
492,75,2023-01-02 0:00,3,292.94,878.82
414,28,2023-01-02 1:00,7,428.87,3002.09
806,82,2023-01-02 2:00,7,157.64,1103.48
386,77,2023-01-02 3:00,4,411.73,1646.92
192,86,2023-01-02 4:00,7,285.14,1995.98
956,76,2023-01-02 5:00,5,153.76,768.8
277,2,2023-01-02 6:00,1,151.09,151.09
161,7,2023-01-02 7:00,4,183.76,735.04
460,26,2023-01-02 8:00,7,313.23,2192.61
314,90,2023-01-02 9:00,2,119.25,238.5
22,88,2023-01-02 10:00,2,460.57,921.14
253,76,2023-01-02 11:00,1,289.58,289.58
748,16,2023-01-02 12:00,2,460.41,920.82
857,23,2023-01-02 13:00,8,27.97,223.76
561,40,2023-01-02 14:00,8,174.59,1396.72
475,60,2023-01-02 15:00,8,16.29,130.32
59,73,2023-01-02 16:00,1,139.76,139.76
511,32,2023-01-02 17:00,1,431.69,431.69
682,15,2023-01-02 18:00,4,23.12,92.48
476,13,2023-01-02 19:00,6,220.89,1325.34
700,5,2023-01-02 20:00,8,63.2,505.6
976,75,2023-01-02 21:00,2,211.34,422.68
783,74,2023-01-02 22:00,3,420.23,1260.69
190,52,2023-01-02 23:00,6,313.42,1880.52
958,77,2023-01-03 0:00,4,369.69,1478.76
687,41,2023-01-03 1:00,2,177.81,355.62
958,53,2023-01-03 2:00,7,472.48,3307.36
563,50,2023-01-03 3:00,4,356.08,1424.32
876,15,2023-01-03 4:00,8,213.79,1710.32
567,7,2023-01-03 5:00,8,216.1,1728.8
244,40,2023-01-03 6:00,7,459.75,3218.25
832,28,2023-01-03 7:00,9,290.32,2612.88
505,32,2023-01-03 8:00,4,354.66,1418.64
131,99,2023-01-03 9:00,7,211.43,1480.01
485,15,2023-01-03 10:00,1,115.73,115.73
819,100,2023-01-03 11:00,4,363.16,1452.64
647,85,2023-01-03 12:00,2,305.87,611.74
21,70,2023-01-03 13:00,9,253.16,2278.44
841,65,2023-01-03 14:00,5,313.89,1569.45
167,4,2023-01-03 15:00,3,108.1,324.3
274,11,2023-01-03 16:00,4,398,1592
388,26,2023-01-03 17:00,6,474.34,2846.04
601,61,2023-01-03 18:00,1,446.1,446.1
316,37,2023-01-03 19:00,7,164.11,1148.77
14,23,2023-01-03 20:00,8,205.97,1647.76
242,93,2023-01-03 21:00,7,405.16,2836.12
777,85,2023-01-03 22:00,7,299.58,2097.06
346,91,2023-01-03 23:00,9,276.22,2485.98
565,40,2023-01-04 0:00,4,463.69,1854.76
898,77,2023-01-04 1:00,7,270.33,1892.31
340,23,2023-01-04 2:00,9,259.89,2339.01
92,16,2023-01-04 3:00,5,25.8,129
367,94,2023-01-04 4:00,2,39.36,78.72
956,61,2023-01-04 5:00,5,8.67,43.35
455,68,2023-01-04 6:00,4,457.06,1828.24
428,80,2023-01-04 7:00,8,207.15,1657.2
509,31,2023-01-04 8:00,5,236.94,1184.7
776,53,2023-01-04 9:00,9,423.47,3811.23
943,25,2023-01-04 10:00,9,306.58,2759.22
